language_name,Polski
pokedex_data_species,SPECIES
pokedex_data_type,TYPE
pokedex_data_height,HEIGHT
pokedex_data_weight,WEIGHT
pokedex_data_form_switch_hint,Press [Shift] to switch forms
pokedex_data_page_details,Details
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolution
pokedex_habitat_area_unknown,Area Unknown.
pokedex_evolution_no_evolutions,doesn't evolve.
----
Receiving Items:
item_received_single,Received the~
item_received_multiple,Received
item_found,<player.name> found~
item_stored_in_pocket_single_start,<Player.Name> stored it in the~
item_stored_in_pocket_single_end,pocket.
item_stored_in_pocket_multiple_start,<Player.Name> stored them~in the
item_stored_in_pocket_multiple_end,pocket.
item_handed_over_single,<Player.Name> handed over the~
item_handed_over_multiple,<Player.Name> handed over the~

Berries:
berry_picked_single_start,<Player.Name> picked the~
berry_picked_single_end,Berry.
berry_picked_multiple_start,<Player.Name> picked the~
berry_picked_multiple_end,Berries.
----
Battle:
battle_trainer_about_to_send_out_1,is about to send out
battle_trainer_about_to_send_out_2,! Do you want to switch your Pokémon?
battle_choose_pokemon,Choose Pokémon
battle_switch_already_in_battle,is already~in battle!
battle_switch_fainted,is fainted!
battle_switch_egg,Cannot switch in~the egg!
battle_cannot_switch,Cannot switch out.
battle_cannot_run,Failed to run away.
battle_cannot_run_ability,Failed to run away because of~
battle_MoveDisabled,Disabled!
battle_NoSafariBalls,No Safari Balls.
battle_NoSportBalls,No Sport Balls.
battle_ThrowMud,Throw Mud
battle_ThrowBait,Throw Bait
battle_Run,Run
battle_Battle,Battle
battle_Bag,Bag
battle_Surrender,Poddaj się
battle_action_MegaEvolve,Mega Evolve!
---
Badges:
badge_1,Marine
badge_2,Hail
badge_3,Sprout
badge_4,Sparky
badge_5,Fist
badge_6,Psi
badge_7,Equity
badge_8,Star
badge_9,Rematch
badge_10,Rematch
badge_11,Rematch
badge_12,Rematch
badge_13,Rematch
badge_14,Rematch
badge_15,Rematch
badge_16,Rematch
---
Regions:
Johto,Johto
Rijon,Rijon
---
Places:

Places_???,???

Towns and Cities:
Places_Seashore City,Seashore
Places_Gravel Town,Gravel
Places_Merson City,Merson
Places_Hayward City,Hayward
Places_Owsauri City,Owsauri
Places_Moraga Town,Moraga
Places_Jaeru City,Jaeru
Places_Botan City,Botan
Places_Castro Valley,Castro
Places_Eagulou City,Eagulou
Places_Azalea Town,Azalea

Special Places:
Places_Pokémon Center,Centrum Pokémonów
Places_Pokémon Mart,Pokémarket
Places_Tim's Lab,Laboratorium Tima
Places_Pokémon Fan Club,Fanklub Pokémonów
Places_Rainbow Tower,Tęczowa Wieża
Places_30 Years Cave,Jaskinia 30 Lat
Places_Southland Mall,Southland Mall
Places_Daycare,Centrum Opieki
Places_Nation's Burgers,Nation's Burgers
Places_Orion Academy,Akademia Oriona
Places_Owsauri Casino,Kasyno Owsauri
Places_City Underpass,Miejskie Przejście Podziemne
Places_Dock Underpass,Dokowe Przejście Podziemne
Places_Power Plant,Power Plant
Places_Castro Manor,Rezydencja Castro
Places_Merson Cave Entrance,Wejście do Jaskini Merson
Places_Merson Cave,Jaskinia Merson
Places_Mt. Boulder,Góra Głaz
Places_Silk Tunnel,Jedwabny Tunel
Places_Silph Co. Warehouse,Magazyn Silph
Places_Botan Cave,Jaskinia Botan
Places_Haunted Forest,Nawiedzony Las
Places_International Tunnel,Tunel Międzynarodowy
Places_Castro Forest,Las Castro
Places_Eagulou Park,Park Eagulou
Places_Secret Cave,Tajna Jaskinia
Places_Seneca Caverns,Jaskinia Seneki
Places_Rijon League,Liga Rijon
Places_Madame Renifler,Madame Renifler
Places_Ilex Forest,Las Ilex
Places_Slowpoke Well,Slowpoke Zdrój
Places_Bunker,Bunkier
Places_Gate,Brama
Places_Final Dungeon,Ostatni Loch

Gyms:
Places_Seashore City Gym,Sala Seashore
Places_Merson City Gym,Sala Merson
Places_Owsauri City Gym,Sala Owsauri
Places_Moraga Town Gym,Sala Moraga
Places_Jaeru City Gym,Sala Jaeru
Places_Castro Valley Gym,Sala Castro
Places_South Reservoir Gym,Sala South Reservoir
Places_Eagulou City Gym,Sala Eagulou
Places_Azalea Town Gym,Sala Azalea

Routes:
Places_Route 34,Droga 34
Places_Old Route 47,Stara Droga 47
Places_Old Route 48,Stara Droga 48
Places_Route 49,Droga 49
Places_Route 50,Droga 50
Places_Route 51,Droga 51
Places_Route 52,Droga 52
Places_Route 53,Droga 53
Places_Route 54,Droga 54
Places_Route 55,Droga 55
Places_Route 56,Droga 56
Places_Route 57,Droga 57
Places_Route 58,Droga 58
Places_Route 59,Droga 59
Places_Route 60,Droga 60
Places_Route 61,Droga 61
Places_Route 62,Droga 62
Places_Route 63,Droga 63
Places_Route 64,Droga 64
Places_Route 65,Droga 65
Places_Route 66,Droga 66
Places_Route 67,Droga 67

---
Item categories:
item_category_Standard,Standardowe
item_category_Medicine,Medycyna
item_category_Machines,TM/HM
item_category_Pokéballs,Pokéballe
item_category_Plants,Rośliny
item_category_KeyItems,Przedmioty kluczowe
item_category_BattleItems,Przedmioty do walk
item_category_Mail,Poczta
---
GameMessages:
game_message_screenshot,Zapisano zrzut ekranu jako
game_message_screenshot_failed,Nie można utworzyć zrzutu ekranu
game_message_fullscreen_on,Włączono tryb pełnoekranowy
game_message_fullscreen_off,Fullscreen off
game_message_third_person_on,Third person mode on
game_message_third_person_off,Third person mode off
game_message_free_camera_on,Free camera mode on
game_message_free_camera_off,Free camera mode off
game_message_sandbox_mode_on,Sandbox mode on
game_message_sandbox_mode_off,Sandbox mode off
game_message_audio_on,Audio on
game_message_audio_off,Audio off
game_message_continue_autosave,Continued save state:
game_message_debug_texture_list_clear,Texture list was cleared
---
Pokemon:
pokemon_name_Bulbasaur,Bulbasaur
pokemon_name_Ivysaur,Ivysaur
pokemon_name_Venusaur,Venusaur
pokemon_name_Charmander,Charmander
pokemon_name_Charmeleon,Charmeleon
pokemon_name_Charizard,Charizard
pokemon_name_Squirtle,Squirtle
pokemon_name_Wartortle,Wartortle
pokemon_name_Blastoise,Blastoise
pokemon_name_Caterpie,Caterpie
pokemon_name_Metapod,Metapod
pokemon_name_Butterfree,Butterfree
pokemon_name_Weedle,Weedle
pokemon_name_Kakuna,Kakuna
pokemon_name_Beedrill,Beedrill
pokemon_name_Pidgey,Pidgey
pokemon_name_Pidgeotto,Pidgeotto
pokemon_name_Pidgeot,Pidgeot
pokemon_name_Rattata,Rattata
pokemon_name_Raticate,Raticate
pokemon_name_Spearow,Spearow
pokemon_name_Fearow,Fearow
pokemon_name_Ekans,Ekans
pokemon_name_Arbok,Arbok
pokemon_name_Pikachu,Pikachu
