language_name,Deutsch
VoltorbFlip_BeforeGame_NoCoinCase,You don't have a Coin Case!~Come back when you have one!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip is a game in which~you flip over cards to find~numbers hidden beneath them.*The cards are hiding the~numbers 1 through 3...~and Voltorb as well.*The first number you flip over~will give you that many Coins.*From then on, the next number~you find will multiply the~total amount of Coins you've~collected by that number.*If it's a 2, your total will~be multiplied by "x2".*If it's a 3, your total will~be multiplied by "x3".*But if you flip over a~Voltorb, it's game over.*When that happens, you'll lose~all the Coins you've collected~in the current level.*If you select "Quit", you'll~withdraw from the level.*If you get to a difficult~spot, you might want to end~the game early.*Once you've found all the~hidden 2 and 3 cards,~you've cleared the game.*Once you've flipped over~all these cards, then you'll~advance to the next level.*As you move up in levels,~you will be able to receive~more Coins. Do your best!
VoltorbFlip_Tutorial_Hint_Message,The numbers at the side~of the board give you a clue~about the numbers hidden on~the backs of the cards.*The larger the number, the~more likely it is that there~are many large numbers hidden~in that row or column.*In the same way, you can tell~how many Voltorb are hidden~in the row or column.*Consider the hidden number~totals and the Voltorb~totals carefully as you~flip over cards.
VoltorbFlip_Tutorial_AboutMemos_Message,Select "Open Memo" or press~[<system.button(run)>] to open the~Memo Window.*You can mark the cards with~the numbers 1 through 3,~but also with a Voltorb mark.*When you have an idea of the~numbers hidden on the back~of the cards, open the Memo~Window, choose the type of~mark you want to use with~the Mouse Wheel or the~Gamepad's Shoulder Buttons~and then press [<system.button(enter1)>]~while highlighting the card~you want to mark.*If you want to remove a mark,~choose the type of mark you~want to remove with the~Mouse Wheel or the Gamepad's~Shoulder Buttons and then~press [<system.button(back1)>] while~highlighting the card you want~to remove the mark from.*You can also use the~mouse to select a~mark type or a card.
VoltorbFlip_Tutorial_HowToPlay_Image1,If you flip the cards in this order, you'll collect: 3 x 1 x 2 x 1 x 3...~A total of 18 Coins! And then...
VoltorbFlip_Tutorial_HowToPlay_Image2,If you select "Quit", you'll keep those 18 Coins.
VoltorbFlip_Tutorial_HowToPlay_Image3,But if you find Voltorb, you'll lose all your Coins!
VoltorbFlip_Tutorial_Hint_Image,By looking at the numbers on the sides of the cards, you can see the hidden number and Voltorb totals.
VoltorbFlip_Tutorial_AboutMemos_Image,Select "Open Memo" to open the Memo Window. Select the cards and press [<system.button(enter1)>] to add and [<system.button(back1)>] to remove marks.
----
PokedexScreen
pokedex_seen,Gesehen:
pokedex_obtained,Gefangen:
pokedex_available,Verfügbar:
pokedex_select,Wähle einen Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Wähle ein Habitat
pokedex_order,Sortiert
pokedex_order_type,Type
pokedex_order_numeric,Nr.
pokedex_order_alphabetically,A-Z
pokedex_order_height,Größe
pokedex_order_weight,Gewicht
pokedex_order_reverse,Reverse
pokedex_filter,Filter
pokedex_filter_none,-
pokedex_filter_name,Name
pokedex_filter_type1,Typ 1
pokedex_filter_type2,Typ 2
pokedex_search_hint,Suche: [<system.button(special)>] / SELECT
pokedex_search_no_results,Keine Ergebnisse.
pokedex_data_species,Spezies
pokedex_data_type,Typ
pokedex_data_height,Größe
pokedex_data_weight,Gewicht
pokedex_data_form_switch_hint,Press [Shift] to switch forms
pokedex_data_page_details,Details
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolution
pokedex_habitat_area_unknown,Gebiet unbekannt.
pokedex_evolution_no_evolutions,entwickelt sich nicht.
----
Receiving Items:
item_received_single,<Player.Name> erhält~
item_received_multiple,<Player.Name> erhält~
item_found,<Player.Name> findet~
item_stored_in_pocket_single_start,<Player.Name> packt das Item in~die
item_stored_in_pocket_single_end,Tasche.
item_stored_in_pocket_multiple_start,<Player.Name> packt die Items in~die
item_stored_in_pocket_multiple_end,Tasche.
item_handed_over_single,<Player.Name> handed over the~
item_handed_over_multiple,<Player.Name> handed over the~

Berries:
berry_picked_single_start,<Player.Name> picked the~
berry_picked_single_end,Berry.
berry_picked_multiple_start,<Player.Name> picked the~
berry_picked_multiple_end,Berries.
----
Battle:
battle_trainer_about_to_send_out_1,wird
battle_trainer_about_to_send_out_2,in den Kampf schicken!~Möchtest du dein Pokémon wechseln?
battle_choose_pokemon,Wähle ein Pokémon
battle_switch_already_in_battle,is already~in battle!
battle_switch_fainted,is fainted!
battle_switch_egg,Cannot switch in~the egg!
battle_cannot_switch,Cannot switch out.
battle_cannot_run,Failed to run away.
battle_cannot_run_ability,Failed to run away because of~
battle_MoveDisabled,Disabled!
battle_NoSafariBalls,No Safari Balls.
battle_NoSportBalls,No Sport Balls.
battle_ThrowMud,Throw Mud
battle_ThrowBait,Throw Bait
battle_Run,Flucht
battle_Battle,Kampf
battle_Bag,Beutel
battle_Surrender,Aufgeben
battle_action_MegaEvolve,Mega Evolve!
---
Badges:
badge_1,Marine
badge_2,Hail
badge_3,Sprout
badge_4,Sparky
badge_5,Fist
badge_6,Psi
badge_7,Equity
badge_8,Star
badge_9,Rematch
badge_10,Rematch
badge_11,Rematch
badge_12,Rematch
badge_13,Rematch
badge_14,Rematch
badge_15,Rematch
badge_16,Rematch
---
Regions:
Johto,Johto
Rijon,Rijon
---
Places:

Places_???,???

Towns and Cities:
Places_Seashore City,Arundia City
Places_Gravel Town,Kieslingen
Places_Merson City,Mersonia City
Places_Hayward City,Heckenburg City
Places_Owsauri City,Owaria City
Places_Moraga Town,Moraga Town
Places_Jaeru City,Jaeru City
Places_Botan City,Botania City
Places_Castro Valley,Castro Valley
Places_Eagulou City,Eagulou City
Places_Azalea Town,Azalea City

Special Places:
Places_Pokémon Center,Pokémon Center
Places_Pokémon Mart,Pokémon Markt
Places_Tim's Lab,Tims Labor
Places_Pokémon Fan Club,Pokémon Fan-Club
Places_Rainbow Tower,Rainbow Tower
Places_30 Years Cave,30-Jährige Höhle
Places_Southland Mall,Southland Mall
Places_Daycare,Pokémon-Pension
Places_Prism Museum,Prism Museum
Places_Nation's Burgers,Nation's Burgers
Places_Orion Academy,Orion Academy
Places_Owsauri Casino,Owaria Casino
Places_City Underpass,Städte-Unterführung
Places_Dock Underpass,Hafen-Unterführung
Places_Power Plant,Power Plant
Places_Castro Manor,Castro Manor
Places_Merson Cave Entrance,Merson Cave Entrance
Places_Merson Cave,Mersonia-Höhle
Places_Mt. Boulder,Felsberg
Places_Silk Tunnel,Seidentunnel
Places_Silph Co. Warehouse,Silph Warenhaus
Places_Botan Cave,Botania Höhle
Places_Haunted Forest,Geisterwald
Places_International Tunnel,International Tunnel
Places_Castro Forest,Castro Forest
Places_Eagulou Park,Eagulou Park
Places_Secret Cave,Secret Cave
