language_name,Nederlands
VoltorbFlip_Tutorial_AboutMemos_Message,Selecteer "Open Memo" of druk~op [<system.button(run)>] om het ~Memo-venster te openen.*Je kunt de kaarten markeren~met de cijfers 1 t/m 3, maar~ook met een Voltorbmarkering.*Als je een idee hebt welke~cijfers achterop de kaarten~kunnen staan, open dan het~Memo-venster, kies het type~markering dat je wilt~gebruiken met het muiswiel of~de schouderknoppen van de~controller en druk op~[<system.button(enter1)>] terwijl je de~cursor op de kaart hebt staan~die je wilt markeren.*Als je een markering wilt~verwijderen, kies het type~markering dat je wilt~verwijderen met het muiswiel of~de schouderknoppen van de~controller en druk op [<system.button(back1)>]~terwijl je de cursor op de~kaart hebt staan waar je de~markering van wilt verwijderen.*Je kunt ook de muis gebruiken~om een kaart of type markering~te selecteren.
VoltorbFlip_Tutorial_HowToPlay_Image1,Als je de kaarten omdraait in deze volgorde, krijg je in totaal:~3 x 1 x 2 x 1 x 3... 18 Munten! En dan...
VoltorbFlip_Tutorial_HowToPlay_Image2,Als je "Stop" selecteert, hou je deze 18 Munten.
VoltorbFlip_Tutorial_HowToPlay_Image3,Maar vind je een Voltorb, dan verlies je al je Munten!
VoltorbFlip_Tutorial_Hint_Image,Door te kijken naar de cijfers naast de kaarten, kun je het totaal verborgen cijfers en Voltorb zien.
VoltorbFlip_Tutorial_AboutMemos_Image,Selecteer "Open Memo" om het Memo-venster te openen. Kies de kaarten en voeg markeringen toe met [<system.button(enter1)>] en haal ze weg met [<system.button(back1)>].
----
PokedexScreen
pokedex_seen,Gezien:
pokedex_obtained,Gevangen:
pokedex_available,Available:
pokedex_select,Kies een Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Kies een Habitat
pokedex_order,Volgorde:
pokedex_order_numeric,Numeriek
pokedex_order_alphabetically,A-Z
pokedex_order_height,Lengte
pokedex_order_weight,Gewicht
pokedex_filter,Filter:
pokedex_filter_none,Geen
pokedex_filter_name,Naam
pokedex_filter_type1,Type 1
pokedex_filter_type2,Type 2
pokedex_search_hint,Druk op [<system.button(special)>] of Select om te zoeken.
pokedex_search_no_results,Geen zoekresultaten
pokedex_data_species,SOORT
pokedex_data_type,TYPE
pokedex_data_height,LENGTE
pokedex_data_weight,GEWICHT
pokedex_data_form_switch_hint,Druk op [Shift] om te wisselen tussen vormen
pokedex_data_page_details,Details
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolutie
pokedex_habitat_area_unknown,Gebied onbekend.
pokedex_evolution_no_evolutions,evolueert niet.
----
Receiving Items:
item_received_single,Ontving een~
item_received_multiple,Ontving
item_found,<Player.Name> vond~
item_stored_in_pocket_single_start,<Player.Name> stopte het weg~in het
item_stored_in_pocket_single_end,vakje.
item_stored_in_pocket_multiple_start,<Player.Name> stopte ze weg~in het
item_stored_in_pocket_multiple_end,vakje.
item_handed_over_single,<Player.Name> overhandigde~een
item_handed_over_multiple,<Player.Name> overhandigde~de

Berries:
berry_picked_single_start,<Player.Name> plukte de~
berry_picked_single_end,Bes.
berry_picked_multiple_start,<Player.Name> plukte de~
berry_picked_multiple_end,Bessen.
----
Battle:
battle_trainer_about_to_send_out_1,staat op het punt om
battle_trainer_about_to_send_out_2,in te zetten om te vechten! Wil je je Pokémon verwisselen met een andere?
battle_choose_pokemon,Kies een Pokémon
battle_switch_already_in_battle,is al~aan het vechten!
battle_switch_fainted,is uitgeschakeld!
battle_switch_egg,Kan geen ei inzetten!
battle_cannot_switch,Kan niet wisselen.
battle_cannot_run,Kon niet wegrennen.
battle_cannot_run_ability,Kon niet wegrennen vanwege~
battle_MoveDisabled,Uitgeschakeld!
battle_NoSafariBalls,Geen SafariBallen.
battle_NoSportBalls,Geen SportBallen.
battle_action_ThrowMud,Gooi Modder
battle_action_ThrowBait,Gooi Aas
battle_action_Run,Ren
battle_action_Battle,Vecht
battle_action_Bag,Tas
battle_action_Surrender,Geef Op
battle_action_MegaEvolve,Mega-Evolueer!
---
Badges:
badge_1,Marine
badge_2,Hagel
badge_3,Spruit
badge_4,Sparky
badge_5,Vuist
badge_6,Psyche
badge_7,Gelijk
badge_8,Ster
badge_9,Rematch
badge_10,Rematch
badge_11,Rematch
badge_12,Rematch
badge_13,Rematch
badge_14,Rematch
badge_15,Rematch
badge_16,Rematch
---
Regions:
Johto,Johto
Rijon,Rijon
---
Places:
Places_???,???

Towns and Cities:
Places_Seashore City,Zeekuststad
Places_Gravel Town,Kiezeldorp
Places_Merson City,Mertenstad
Places_Hayward City,Haagwachterstad
Places_Owsauri City,Slotwaterstad
Places_Moraga Town,Stamppotdorp
Places_Jaeru City,Laeterwirstad
Places_Botan City,Bloemenbloeistad
Places_Castro Valley,Dalburg
Places_Eagulou City,Tromtorenstad
Places_Azalea Town,Azaleadorp

Special Places:
Places_Pokémon Center,Pokémon-Centrum
Places_Pokémon Mart,Pokémon-Winkel
Places_Tim's Lab,Tim's Lab
Places_Pokémon Fan Club,Pokémon-Fanclub
Places_Rainbow Tower,Regenboogtoren
Places_30 Years Cave,30-Jaren-Grot
Places_Southland Mall,Winkelcentrum Zuidland
Places_Daycare,Dagopvang
Places_Nation's Burgers,Burgerland
Places_Orion Academy,Orion Academie
Places_Owsauri Casino,Slotwater-Casino
Places_City Underpass,Stad-onderdoorgang
Places_Dock Underpass,Kade-onderdoorgang
Places_Power Plant,Energiecentrale
Places_Castro Manor,Huize Dalburg
Places_Merson Cave Entrance,Ingang van Mertengrot
Places_Merson Cave,Mertengrot
Places_Mt. Boulder,Zwerfkeiberg
Places_Silk Tunnel,Zijdetunnel
Places_Silph Co. Warehouse,Silph Co. Warenhuis
Places_Botan Cave,Bloemenbloeigrot
Places_Haunted Forest,Spookachtig Woud
Places_International Tunnel,Internationale Tunnel
Places_Castro Forest,Dalburgbos
Places_Eagulou Park,Tromtorenpark
Places_Secret Cave,Geheime Grot
Places_Seneca Caverns,Seneca-Cavernes
Places_Rijon League,Rijon League
Places_Madame Renifler,Madame Renifler
Places_Ilex Forest,Ilex-Bos
Places_Slowpoke Well,Slowpoke-Waterput
Places_Gate,Poort
Places_Final Dungeon,Laatste Uitdaging

Gyms:
Places_Seashore City Gym,Zeekust-Stad Gym
Places_Merson City Gym,Mertenstad Gym
Places_Owsauri City Gym,Slotwaterstad Gym
Places_Moraga Town Gym,Stamppotdorp Gym
Places_Jaeru City Gym,Laeterwirstad Gym
Places_Castro Valley Gym,Dalburg Gym
Places_South Reservoir Gym,Zuidreservoir Gym
Places_Eagulou City Gym,Tromtorenstad Gym
Places_Azalea Town Gym,Azaleadorp Gym

Routes:
Places_Route 34,Route 34
Places_Old Route 47,Oude Route 47
Places_Old Route 48,Oude Route 48
Places_Route 49,Route 49
Places_Route 50,Route 50
Places_Route 51,Route 51
Places_Route 52,Route 52
Places_Route 53,Route 53
Places_Route 54,Route 54
Places_Route 55,Route 55
